國家/地區別,總計,1.活動物；動物產品,2.植物產品,3.動植物油脂,4.調製食品；飲料及菸酒,5.礦產品,6.化學品,7.塑膠、橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,16.機械及電機設備,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,19.其他
94年 2月,3125495,810,3166,395,49342,17172,484315,161487,2762,279,21736,22378,600,71138,19751,304604,1441712,208866,293306,21674
94年 3月,4419481,1112,3516,350,56781,14548,612900,229293,4745,345,28198,30281,471,79259,23205,441264,2167017,222562,473828,29805
94年 4月,4196350,1026,3251,323,50180,13263,589381,214158,4084,266,26576,28339,730,89766,26374,450530,1864976,287693,518313,27121
94年 5月,4235771,987,4039,287,54719,12030,595529,208233,4104,391,27082,26601,650,101256,26602,439399,1864428,259167,574956,35312
94年 6月,3968654,772,3398,547,63918,16452,574243,208699,4426,397,27703,26261,439,103754,31838,425937,1723612,234306,486289,35663
94年 7月,3810383,1012,2913,302,48601,11792,571083,205955,3172,264,23918,20845,671,94584,35359,393450,1748697,235657,376268,35840
94年 8月,3654233,1709,3541,344,51725,18600,559101,203126,3552,171,28117,23426,554,95284,29830,449596,1651850,193995,308399,31312
94年 9月,3868382,2046,5521,474,54268,15758,591448,230328,4744,419,25196,25335,703,102768,33896,404408,1704596,255961,382297,28215
94年 10月,4154718,2060,4540,323,58989,16643,720691,258822,4837,873,24500,31610,790,113800,40468,411346,1724619,350914,358757,30140
94年 11月,3721758,1117,6728,320,51413,20472,644353,239404,4171,652,23051,25808,753,103684,41873,415622,1527940,218296,365588,30513
94年 12月,3520025,2174,11175,450,45522,18990,634407,236016,3345,288,27120,20539,442,90002,40250,378064,1467387,141708,376955,25190
95,46848784,13926,67313,4156,701147,328534,8157305,2792660,40037,4464,299176,261714,7534,1168935,526159,5203577,20667044,1706919,4607918,290265
95年 1月,3217439,1820,9864,171,65925,12404,624079,203901,3028,351,20836,18661,673,82796,31985,325415,1334180,144354,315187,21810
95年 2月,3991428,1050,5579,446,63405,43167,702089,250405,3570,273,26179,22192,584,97375,40058,386539,1776728,163605,381954,26230
95年 3月,4180234,581,3963,562,53629,16783,796813,242197,4499,195,23706,23240,787,94324,31691,419513,1849219,167125,426544,24865
95年 4月,4026866,928,3383,394,57432,17650,686083,252612,3315,444,23742,22962,787,86115,41361,418804,1771717,164447,447926,26763
95年 5月,4009708,947,5133,294,62149,17996,669793,246768,3385,319,21080,21608,609,109965,44448,421518,1792377,165110,400716,25494
95年 6月,3926459,951,4465,421,65876,27252,598438,227595,3109,313,25981,19334,554,106003,38826,420554,1816884,154103,388449,27351
95年 7月,4286246,1058,4028,334,70305,16982,733410,228855,2775,313,24168,20817,461,108743,69665,453081,1933270,140048,453022,24912
95年 8月,3754786,925,5211,231,64058,34136,676609,205727,3006,447,25377,22532,810,95619,39693,484254,1657828,110697,304840,22787
95年 9月,3690780,1253,4465,420,50111,21789,677067,219106,2831,639,27611,23559,514,84855,46765,427443,1678455,120592,282186,21118
95年 10月,4063439,1509,4542,319,58482,18556,697376,262923,3239,372,32012,27662,752,109893,58985,431056,1776814,128594,427014,23338
95年 11月,3984615,1065,5558,321,59732,41450,641678,246759,3655,342,25166,20936,421,105116,39479,534945,1741825,107862,385654,22651
95年 12月,3716785,1839,11122,244,30044,60368,653871,205812,3626,456,23316,18212,582,88131,43203,480455,1537749,140382,394426,22946
96,46710377,22891,75143,5054,699223,467957,8222321,2980280,45607,6471,335201,241245,7035,1250799,717099,6051627,19079038,1699746,4503027,300613
