"國家/地區別","總計","1.活動物；動物產品","2.植物產品","3.動植物油脂","4.調製食品；飲料及菸酒","5.礦產品","6.化學品","7.塑膠、橡膠及其製品","8.毛皮及其製品","9.木及木製品","10.紙漿；紙及其製品；印刷品","11.紡織品","12.鞋、帽及其他飾品","13.非金屬礦物製品","14.珠寶及貴金屬製品","15.基本金屬及其製品","16.機械及電機設備","17.運輸工具","18.光學及精密儀器；鐘錶；樂器","19.其他"
"105年 5月",2521020,47749,154656,866,63247,70372,316382,89057,6889,6140,33581,20412,464,15794,17435,84993,818861,364326,285382,124414
"105年 6月",2354774,48964,112083,591,54363,47353,256928,77853,7326,5232,26912,18839,386,15588,17151,82365,938373,208780,174981,260706
"105年 7月",2413519,53759,165940,419,52766,26347,281948,71973,8116,4718,29947,24209,417,16785,19059,71629,796737,376849,221801,190100
"105年 8月",2260219,63356,157479,1215,67885,38743,372184,84023,6538,4257,35658,20265,134,16598,12609,88793,819754,191561,215134,64033
"105年 9月",1939908,48259,151472,806,46186,27731,247653,58940,5612,2954,28193,14987,364,14169,10286,69115,811301,174936,183478,43466
"105年 10月",2429107,61280,145379,2109,61353,34214,317762,79065,6579,3365,31702,24295,674,16503,15452,91529,1033248,227258,213517,63823
"105年 11月",2488099,61837,141512,1533,69825,80886,284930,71501,6539,4097,38089,19386,261,20580,14269,63674,997481,163438,201749,246512
"105年 12月",2320216,55437,221691,1037,57621,87565,262699,73078,7954,4320,33476,17132,339,17698,21112,68191,994045,157367,178319,61135
"106年",28395694,731179,1928452,13847,679140,1002963,3636824,1035956,88120,52572,379666,238753,3783,226084,193462,913061,11051711,2383356,2263697,1573068
"106年 1月",2601066,63659,205962,729,53638,20040,248534,69624,7365,3089,27718,21456,446,16750,9232,64815,1013231,172263,228023,374492
"106年 2月",2121470,47634,175841,888,48354,90644,334008,81649,8491,3484,34328,20318,197,17399,14970,70651,784480,146041,151665,90428
"106年 3月",2436622,60626,227031,671,55011,36092,327301,90544,10810,5263,31575,28677,330,17792,14582,83914,1012073,143424,215256,75650
"106年 4月",2312811,53167,209511,1084,56797,63378,301556,83147,7944,5152,28000,23248,335,17119,13906,79519,881185,188413,220873,78477
"106年 5月",2464261,57257,183478,1207,63262,87578,301661,91707,7966,5024,33637,24682,299,19541,17709,88787,992172,197555,182436,108303
"106年 6月",2058697,57908,147585,698,62154,58943,291906,77855,8869,6242,28419,19004,335,18398,14063,73037,760015,191709,167928,73629
"106年 7月",2149648,60153,146323,1175,62998,71841,272042,89750,6966,6349,31435,18892,185,16982,11779,73562,851647,168761,178425,80383
"106年 8月",2523056,69124,141083,1485,58241,123352,314506,95715,7265,3969,31578,19612,328,18327,15149,77911,884776,318269,165954,176412
"106年 9月",2353312,64968,94347,1737,55560,39355,312654,82653,6740,3978,26388,17568,225,18172,15218,72643,971037,268350,221505,80214
"106年 10月",2287799,69552,102193,1248,54251,76272,299028,89673,5837,3267,32893,14447,547,23056,17735,72968,1032703,117164,195012,79953
"106年 11月",2527943,58176,141033,1025,56504,86310,334470,96713,4930,3502,37824,15692,460,21719,27615,71704,983865,323245,161083,102073
"106年 12月",2559009,68955,154065,1900,52370,249158,299158,86926,4937,3253,35871,15157,96,20829,21504,83550,884527,148162,175537,253054
"107年",33104900,940152,2341354,13425,715001,4244929,4044320,1122113,52122,56444,443947,291190,3362,251030,186194,1371950,10995734,2314533,2420491,1296609
"107年 1月",2464971,81093,189963,1011,67147,165081,322630,97761,3185,4629,41950,27671,533,21987,13585,101200,866219,174523,215125,69678
"107年 2月",2330850,59553,107852,973,48347,547797,241651,79590,2857,3116,23904,14063,149,17808,13731,92616,721128,124595,149041,82079
"107年 3月",2708090,85256,127416,634,64941,290177,320392,92835,6434,5657,36587,32430,102,19286,17701,115653,935404,165825,230641,160719
